Brewery,City,Name,Abv,Ibu,Srm,Tags
Abhi Brewery,?,Abhi beer,?,?,?,german_lager|bamberg_style_bock_rauchbier
Sabmiller India |,Bangalore,Foster's Lager Beer,4.9%,?,?,north_american_lager|american_style_lager
Sabmiller India |,Bangalore,Haywards 2000,7.5%,?,?,north_american_lager|american_style_lager
Sabmiller India |,Bangalore,Haywards 5000,7.5%,?,?,north_american_lager|american_style_lager
Sabmiller India |,Bangalore,Haywards Black,8%,?,?,north_american_lager|american_style_lager
Sabmiller India |,Bangalore,Haywords 5000,7.5%,?,?,north_american_lager|american_style_lager
Sabmiller India |,Bangalore,Indus Pride,4.8%,?,?,?
Sabmiller India |,Bangalore,Knock Out,8%,?,?,north_american_lager|american_style_lager
Sabmiller India |,Bangalore,Peroni,5.1%,?,?,north_american_lager|american_style_lager
Sabmiller India |,Bangalore,Peroni Nastro Azzurro,5.1%,?,?,north_american_lager|american_style_lager
Sabmiller India |,Bangalore,Royal Challenge,5%,?,?,north_american_lager|american_style_lager
Skol Breweries,Maharashtra,Royal Challenge Indian Premium Lager,?,?,?,north_american_lager|american_style_lager
United Breweries Limited,Bangalore,Flying Horse Royal Lager Beer,?,?,?,north_american_lager|american_style_lager
United Breweries Limited,Bangalore,Kingfisher Premium,4.8%,?,?,north_american_lager|american_style_light_lager
Yuksom Breweries,Malli,Yeti Special Export,7%,?,?,north_american_lager|american_style_lager
